UserID,Page,Game,Genre,Rating,Review,Playtime,PostedDate,Status
76561198829145577,1.0,Ready or Not,"Action, Adventure, Indie",Recommended,"Play Police, Clap Civvies, Drop Druggies, Grab Game",119.1 hrs on record																					(52.9 hrs at review time),N/A,
76561198829145577,1.0,Resident Evil Village,Action,Recommended,"Incredible Story and Gameplay, must have for any Resi fans",28.2 hrs on record																					(14.6 hrs at review time),N/A,
76561198829145577,1.0,Max Payne 3,Action,Recommended,Punisher Vibes! Have fun waging your one man war on crime! i bought this simply for the single player. No Regrets.,19.7 hrs on record																					(8.8 hrs at review time),N/A,
76561199050634608,1.0,Hearts of Iron IV,"Simulation, Strategy",Recommended,this game took my soul,247.9 hrs on record																					(215.2 hrs at review time),N/A,
76561199050634608,1.0,God of War,"Action, Adventure, RPG",Recommended,boy,17.7 hrs on record																					(17.6 hrs at review time),N/A,
76561199050634608,1.0,Detroit: Become Human,"Action, Adventure",Recommended,impressive story,18.0 hrs on record																					(15.7 hrs at review time),N/A,
76561199050634608,1.0,Phasmophobia,"Action, Indie, Early Access",Recommended,Rill 100%,84.6 hrs on record																					(44.0 hrs at review time),N/A,
76561199050634608,1.0,Grand Theft Auto IV: The Complete Edition,"Action, Adventure",Recommended,barbara with big tities,48.8 hrs on record																					(17.8 hrs at review time),N/A,
76561199050634608,1.0,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Recommended,"yes, now i can see hentai anime",8.7 hrs on record																					(1.1 hrs at review time),N/A,
76561199050634608,1.0,Fall Guys,"Action, Casual, Indie, Massively Multiplayer, Sports",Recommended,blonde skin=gay,55.5 hrs on record																					(54.0 hrs at review time),N/A,
76561198060315786,1.0,Resident Evil 6,"Action, Adventure",Recommended,If you have a friend to play coop it is a fine game. Otherwise it sucks,24.6 hrs on record																					(19.7 hrs at review time),N/A,
76561198060315786,1.0,DEVOUR,Indie,Recommended,eu te dei love love love tu nao kiss kiss kiss kiss,15.2 hrs on record																					(7.8 hrs at review time),N/A,
76561198060315786,1.0,The Witcher: Enhanced Edition Director's Cut,"Action, RPG",Recommended,A little dated but story and book references are still awesome,37.1 hrs on record																					(18.1 hrs at review time),N/A,
76561198060315786,1.0,Grand Theft Auto IV: The Complete Edition,"Action, Adventure",Recommended,cool story,60.9 hrs on record																					(23.1 hrs at review time),N/A,
76561198060315786,1.0,Half-Life: Source,Action,Recommended,It has aged very badly. The physics and movement are awful.,16.3 hrs on record																					(10.5 hrs at review time),N/A,
76561198060315786,1.0,BioShock Infinite,Action,Recommended,Nice story and nice settings. A really true masterpiece in the same spot as BioShock,27.2 hrs on record,N/A,
76561198060315786,1.0,BioShock™ 2 Remastered,"Action, RPG",Recommended,.,19.2 hrs on record																					(8.3 hrs at review time),N/A,
76561198060315786,1.0,Max Payne 3,Action,Recommended,.,15.9 hrs on record																					(7.0 hrs at review time),N/A,
76561198060315786,1.0,BioShock™ Remastered,"Action, RPG",Recommended,"Nice game, nice visuals, nice weapons, nice plasmids, and nice story.",21.8 hrs on record																					(10.4 hrs at review time),N/A,
76561199061031031,1.0,Red Dead Redemption 2,"Action, Adventure",Recommended,DUTCHHHHHHHHHHH,116.3 hrs on record																					(107.1 hrs at review time),N/A,
76561199061031031,1.0,SteamVR,N/A,Recommended,Yeah vr is sick,"4,158.4 hrs on record																					(2,839.8 hrs at review time)",N/A,
76561199061031031,1.0,Project Gunship,"Action, Indie, Simulation, Early Access",Recommended,"This game has such a high potential ahead of itself, as someone who really enjoyed the Gunship missions in games like Call of Duty this has been a really fun addition to missions like that.",2.4 hrs on record																					(2.2 hrs at review time),N/A,
76561199061031031,1.0,VRChat,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",Recommended,It's a game.,"4,176.7 hrs on record																					(467.3 hrs at review time)",N/A,
76561199061031031,1.0,"Gunner, HEAT, PC!","Action, Indie, Simulation, Early Access",Recommended,"Overall Its a really solid game, Voice lines are very well done and nicely polished. But it has an underlying issue for everyone i suppose, and that is the optimization. Its not as bad as it could be but its still pretty rough to get thru sometimes. Work on that and you'll make a great product even better.",30.3 hrs on record																					(4.0 hrs at review time),N/A,
76561199061031031,1.0,War Thunder - Ground Forces High-res Texture Pack,"Action, Massively Multiplayer, Simulation, Free To Play",Recommended,this is the pack of all time.,0.0 hrs on record,N/A,
76561199061031031,1.0,Insurgency: Sandstorm - Warlord Gear Set,Action,Recommended,Golden ak and skull mask with the rambo belt is awesome! great set and a great purchase.,0.0 hrs on record,N/A,
76561199061031031,1.0,Squad,"Action, Indie, Massively Multiplayer, Strategy",Recommended,"run for 10 minutes, die. repeat",119.1 hrs on record																					(16.9 hrs at review time),N/A,
