UserID,Page,Game,Rating,Review,Playtime,PostedDate,Status
76561198834338810,1.0,N/A,Recommended,Awesome wallpapers works flawless on mobiles too,4.0 hrs on record																					(3.8 hrs at review time),N/A,
76561198834338810,1.0,N/A,Recommended,The mad lad has done it again,18.6 hrs on record																					(1.1 hrs at review time),N/A,
76561198834338810,1.0,N/A,Recommended,true Cyberpunk aesthetic,14.8 hrs on record,N/A,
76561198834338810,1.0,N/A,Recommended,Very nice,27.6 hrs on record																					(9.7 hrs at review time),N/A,
76561198834338810,1.0,N/A,Recommended,Short and sweet fun,10.9 hrs on record,N/A,
76561198834338810,1.0,N/A,Recommended,nostalgia reloaded,3.6 hrs on record,N/A,
76561198834338810,1.0,N/A,Recommended,return to monke ♥♥♥♥♥ out for harambae,34.7 hrs on record																					(3.1 hrs at review time),N/A,
76561198834338810,1.0,N/A,Recommended,I'm on the highway to the danger zone,6.5 hrs on record																					(5.6 hrs at review time),N/A,
76561198834338810,1.0,N/A,Recommended,Successfully reminded me of F.E.A.R,10.5 hrs on record,N/A,
76561198834338810,1.0,N/A,Recommended,"cartel hunter simulator,maybe the last good ubi game but they ♥♥♥♥♥♥ the servers",37.8 hrs on record																					(19.5 hrs at review time),N/A,
76561198834338810,2.0,N/A,Recommended,WHAT AN EXPERIENCE,46.4 hrs on record																					(7.9 hrs at review time),N/A,
76561198834338810,2.0,N/A,Recommended,lovin it,52.2 hrs on record																					(37.2 hrs at review time),N/A,
76561198834338810,2.0,N/A,Recommended,daaaaaaaaaaaaaamnnnnnnnnnnnnnnn ♥♥♥♥♥♥♥ love it makes me all dizzy,5.7 hrs on record																					(3.2 hrs at review time),N/A,
76561198834338810,2.0,N/A,Recommended,one of the best games i have ever played,41.6 hrs on record,N/A,
76561198834338810,2.0,N/A,Recommended,good for a while,6.8 hrs on record,N/A,
76561198834338810,2.0,N/A,Recommended,"played the first one,looking up to the story",40.7 hrs on record																					(13.8 hrs at review time),N/A,
76561198834338810,2.0,N/A,Recommended,the story only is good the puzzles and the combat is straight ass,11.6 hrs on record,N/A,
