UserID,Page,Game,Rating,Review,Playtime,PostedDate,Status
76561199076918197,1.0,Yakuza 0,Recommended,Better than Naruto,1.0 hrs on record,N/A,
76561199076918197,1.0,Far Cry® 4,Recommended,I am offensive and I find this game Indian.,7.2 hrs on record																					(2.1 hrs at review time),N/A,
76561199076918197,1.0,Need for Speed Undercover,Recommended,"1) Game breakin glitches. 2) Out dated physics. 3) Full of 20 yr old geeks who play this because of nostalgia and Sue whoever criticizes this out dated game( even gta sa is out dated, but still ever heard any complaint?) 4) Runs at 15-30 fps on Gtx 1050 ti. 5) Complete useless. 6) Refunded within half an hour of grinding. Additional notes:- …Buy NFS payback/rivals than this ♥♥♥♥.",0.4 hrs on record,N/A,
76561199076918197,1.0,Wallpaper Engine,Recommended,Too much of hentai.,12.0 hrs on record																					(11.9 hrs at review time),N/A,
76561199076918197,1.0,Raji: Prologue,Recommended,"Dude, say whatever you wanna say, but remember it's an indie game, comparing the graphics with any other game in its category, you know which one will be the best.",1.1 hrs on record,N/A,
76561199076918197,1.0,Age of Empires II: Definitive Edition,Recommended,Woollo loo woollo loo This game made my childhood flow,109.2 hrs on record																					(10.7 hrs at review time),N/A,
76561199076918197,1.0,Max Payne 3,Recommended,"This game saved my life. I am 22. My ex-wife and I have a daughter together, and adopted our son together. They are now both 4 years old. When we were going through our separation, I found myself lost and miserable. I was self destructive. I got so mad one day from everything spiralling out of my control that I punched some concrete in a moment of overwhelming emotion. That caused me to break my 5th metacarpal in my right hand... my working hand... my games hand.. the hand that I held and carried my children to bed with.. The hand I desperately needed to make sure I could continue to provide. After learning of the severity of my self-inflicted damage, I was borderline suicidal. Keep in mind that just a few months before this, I was the happiest man with no history of depression or anxiety. I have never had fits of rage, or been one to break down and cry, but I was in a low spot that just really buried me from being able to see the light on the other side. Having nothing better to do, I searched for a game I could play, ONE HANDED while I recovered. I somehow stumbled upon this game and read some of the reviews. I decided that it had to be worth a shot... I must admit, I didn't beat the game, or play nearly as long as some of you. In fact, I may have only played this game a day or two.. With that being said, after doing so, I had a new found joy and hope for life. I was able to put behind me the pain and suffering that had been cast over me. I was able to experience other peoples joy and happiness. I was able to see the fruits of my ""labour"". I relaxed for 5 whole minutes to this music long enough to realise that I was going to be okay. After coming to that realisation, I turned the game off, and I went back to work. It hurt my hand like hell but I was motivated. I stopped feeling so damn sorry for myself, and I became the father I needed to be in that moment, not the weak boy I was behaving as. Today, I am close friend with my kids mother. We don't fight, or argue, or say hurtful things to each other. We are parents, and friends. I now have 3 kids. My third child is, wait for it, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my own separation, and we just stumbled in to each others life unexpectedly. We have been in a relationship for a year now, and are very happy together. Moral of the story, you never know what life holds in store for you, and if I would have given up when all the odds were stacked against me, I wouldn't be where I am today. This silly little game helped me realise that. Thank you",9.1 hrs on record																					(8.7 hrs at review time),N/A,
76561199076918197,1.0,Grand Theft Auto IV: The Complete Edition,Recommended,"In the land of opportunity, I killed a man.",125.5 hrs on record																					(119.8 hrs at review time),N/A,
76561199076918197,1.0,Counter-Strike 2,Recommended,"If you're ready to sell your virginity, life, life savings, time, relationship, patience, mental stability, and wanna learn some Russian and Chinese cuss words, you're free to download this game, there's a reason why this game is free to download.",746.6 hrs on record																					(312.4 hrs at review time),N/A,
76561199076918197,1.0,Grand Theft Auto V Legacy,Recommended,---{Graphics}--- ☐ You forget what reality is ☑ Beautiful ☐ Good ☐ Decent ☐ Bad ☐ Don‘t look too long at it ☐ MS-DOS ---{Gameplay}--- ☐ Very good ☑ Good ☐ It‘s just gameplay ☐ Mehh ☐ Watch paint dry instead ☐ Just don't ---{Audio}--- ☐ Eargasm ☐ Very good ☑ Good ☐ Not too bad ☐ Bad ☐ I'm now deaf ---{Audience}--- ☐ Kids ☐  Teens☐ ☑ Adults ☐ All ---{PC Requirements}--- ☐ Check if you can run paint ☐ Potato ☐ Decent ☑ Fast ☐ Rich boi ☐ Ask NASA if they have a spare computer ---{Difficulity}--- ☐ Just press 'W' ☐ Easy ☑ Significant brain usage ☐ Easy to learn / Hard to master ☐ Difficult ☐ Dark Souls ---{Grind}--- ☐ Nothing to grind ☐ Only if u care about leaderboards/ranks ☐ Isnt necessary to progress ☑ Average grind level ☐ Too much grind ☐ You‘ll need a second life for grinding ---{Story}--- ☐ No Story ☐ Some lore ☑Average ☐ Good ☐ Lovely ☐ It‘ll replace your life ---{Game Time}--- ☐ Long enough for a cup of coffee ☐ Short ☐ Average ☑ Long ☐To infinity and beyond ---{Price}--- ☐ It’s free! ☐ Worth the price ☐  If it's on sale ☑ If u have some spare money left ☐ Not recommended ☐ You could also just burn your money ---{Bugs}--- ☐ Never heard of ☑Minor bugs ☐  Can get annoying ☐ ARK: Survival Evolved ☐ Cyberpunk 2077 ---{?/10}--- ☐1 ☐2 ☐3 ☐4 ☐5 ☐6 ☑7 ☐8 ☐9 ☐10,217.5 hrs on record																					(185.5 hrs at review time),N/A,
